Latitud,Longitud,Valor_Sentinel,Temp_2m_ERA5_(C),Temp_10m_ERA5_(C),Vapor_Agua_(mm),Humedad_Relativa_(%),Factor_Error_(%)
1590840.0,171720.0,0.1509,21.96,22.35,26.41,64.55,14.62
1590840.0,175880.0,0.0266,21.99,22.57,26.27,63.92,15.01
1590840.0,180040.0,0.04,22.13,22.76,26.61,63.92,16.92
1590840.0,184200.0,0.0617,22.28,22.95,27.02,64.0,19.03
1590840.0,188360.0,0.094,22.43,23.13,27.42,64.07,21.14
1590840.0,192520.0,0.1252,22.58,23.32,27.83,64.15,23.25
1590840.0,196680.0,0.1066,22.73,23.5,28.23,64.23,25.36
1590840.0,200840.0,0.1007,22.88,23.68,28.64,64.3,27.47
1590840.0,205000.0,0.1247,23.04,23.83,29.02,64.37,29.81
1590840.0,209160.0,0.0768,23.24,23.92,29.37,64.43,32.5
1590840.0,213320.0,0.132,23.43,24.0,29.71,64.49,35.18
1590840.0,217480.0,0.1044,23.62,24.09,30.06,64.55,37.87
1590840.0,221640.0,0.1092,23.81,24.18,30.41,64.61,40.56
1590840.0,225800.0,0.0797,24.0,24.26,30.76,64.66,43.25
1590840.0,229960.0,0.1146,24.19,24.35,31.11,64.72,45.93
1590840.0,250760.0,0.1983,23.62,23.36,30.6,67.74,37.91
1586680.0,171720.0,0.1381,21.96,22.35,26.41,64.54,14.62
1586680.0,175880.0,0.1391,21.99,22.57,26.27,63.91,15.01
1586680.0,180040.0,0.0504,22.13,22.76,26.62,63.92,16.95
1586680.0,184200.0,0.0646,22.28,22.95,27.02,64.0,19.06
1586680.0,188360.0,0.1064,22.43,23.13,27.43,64.07,21.17
1586680.0,192520.0,0.069,22.58,23.32,27.83,64.15,23.28
1586680.0,196680.0,0.0831,22.73,23.5,28.24,64.23,25.38
1586680.0,200840.0,0.0547,22.88,23.69,28.64,64.31,27.49
1586680.0,205000.0,0.0503,23.05,23.83,29.02,64.38,29.84
1586680.0,209160.0,0.0388,23.24,23.92,29.37,64.43,32.53
1586680.0,213320.0,0.169,23.43,24.0,29.72,64.49,35.21
1586680.0,217480.0,0.1134,23.62,24.09,30.07,64.55,37.9
1586680.0,221640.0,0.1406,23.81,24.18,30.42,64.61,40.59
1586680.0,225800.0,0.1341,24.0,24.27,30.76,64.66,43.28
1586680.0,229960.0,0.2414,24.19,24.35,31.11,64.72,45.96
