Latitud,Longitud,Valor_Sentinel,Temp_ERA5_(K),Factor_Error_(%)
1507480.0,304760.0,0.1552,297.61,1.54
1507480.0,305880.0,0.1614,297.73,4.18
1507480.0,307000.0,0.1599,297.86,7.29
1507480.0,308120.0,0.1458,298.0,10.81
1507480.0,309240.0,0.0738,298.16,14.65
1507480.0,310360.0,0.1938,298.33,18.69
1507480.0,311480.0,0.1157,298.51,22.86
1507480.0,312600.0,0.2701,298.68,27.05
1507480.0,313720.0,0.079,298.86,31.16
1507480.0,314840.0,0.0589,299.02,35.11
1507480.0,315960.0,0.2397,299.18,38.79
1507480.0,317080.0,0.2373,299.33,42.38
1507480.0,318200.0,0.1233,299.48,46.13
1507480.0,319320.0,0.1283,299.64,49.96
1507480.0,320440.0,0.1151,299.8,53.77
1507480.0,321560.0,0.0481,299.96,57.44
1507480.0,322680.0,0.1212,300.1,60.88
1507480.0,323800.0,0.0928,300.23,63.99
1507480.0,324920.0,0.1645,300.34,66.67
1507480.0,326040.0,0.0934,300.43,68.82
1507480.0,327160.0,0.0922,300.5,70.33
1507480.0,328280.0,0.0842,300.53,71.12
1507480.0,329400.0,0.3136,300.54,71.27
1507480.0,330520.0,0.2347,300.52,70.91
1507480.0,331640.0,0.1662,300.49,70.18
1507480.0,332760.0,0.0844,300.45,69.2
1507480.0,333880.0,0.1241,300.4,68.1
1507480.0,335000.0,0.1139,300.36,67.0
1507480.0,336120.0,0.2134,300.32,66.03
1507480.0,337240.0,0.0694,300.29,65.33
1507480.0,338360.0,0.1205,300.27,64.92
1507480.0,339480.0,0.2149,300.25,64.55
1507480.0,340600.0,0.1898,300.24,64.18
1507480.0,341720.0,0.1476,300.22,63.83
1507480.0,342840.0,0.0697,300.21,63.51
1507480.0,343960.0,0.2249,300.2,63.22
1507480.0,345080.0,0.3598,300.19,62.98
1507480.0,346200.0,0.166,300.18,62.81
1507480.0,347320.0,0.1523,300.18,62.7
1507480.0,348440.0,0.1269,300.18,62.67
1507480.0,349560.0,0.0765,300.18,62.68
1507480.0,350680.0,0.2537,300.18,62.68
1507480.0,351800.0,0.1117,300.18,62.69
1507480.0,352920.0,0.1143,300.18,62.75
1507480.0,354040.0,0.0666,300.18,62.88
1507480.0,355160.0,0.2643,300.19,63.1
1507480.0,356280.0,0.1032,300.21,63.45
1507480.0,357400.0,0.5048,300.23,63.96
1507480.0,358520.0,0.1551,300.26,64.66
1507480.0,359640.0,0.2836,300.3,65.58
1507480.0,360760.0,0.1267,300.36,66.99
1507480.0,361880.0,0.1646,300.43,68.85
1507480.0,363000.0,0.092,300.52,71.01
1507480.0,364120.0,0.0717,300.62,73.29
1507480.0,365240.0,0.1094,300.72,75.56
1507480.0,366360.0,0.1394,300.8,77.64
1507480.0,367480.0,0.1888,300.88,79.4
1507480.0,368600.0,0.0856,300.93,80.66
1507480.0,369720.0,0.2056,300.96,81.29
1507480.0,370840.0,0.1363,300.95,81.12
1507480.0,371960.0,0.1119,300.91,80.18
1507480.0,373080.0,0.1596,300.84,78.62
1507480.0,374200.0,0.2912,300.76,76.61
1507480.0,375320.0,0.0899,300.66,74.32
1507480.0,376440.0,0.1531,300.56,71.92
1506360.0,304760.0,0.224,297.63,2.01
1506360.0,305880.0,0.123,297.74,4.59
1506360.0,307000.0,0.1436,297.87,7.62
1506360.0,308120.0,0.0854,298.01,11.06
1506360.0,309240.0,0.1644,298.17,14.79
1506360.0,310360.0,0.1584,298.33,18.72
1506360.0,311480.0,0.2171,298.5,22.77
1506360.0,312600.0,0.1697,298.67,26.83
1506360.0,313720.0,0.0994,298.84,30.8
1506360.0,314840.0,0.1276,299.0,34.6
1506360.0,315960.0,0.1776,299.15,38.12
1506360.0,317080.0,0.2159,299.29,41.55
1506360.0,318200.0,0.1228,299.44,45.13
1506360.0,319320.0,0.0478,299.59,48.79
1506360.0,320440.0,0.1894,299.75,52.4
1506360.0,321560.0,0.3391,299.89,55.88
1506360.0,322680.0,0.2005,300.03,59.11
1506360.0,323800.0,0.3045,300.15,62.0
1506360.0,324920.0,0.1687,300.25,64.44
1506360.0,326040.0,0.0322,300.33,66.33
1506360.0,327160.0,0.103,300.38,67.56
1506360.0,328280.0,0.242,300.4,68.01
1506360.0,329400.0,0.2675,300.39,67.78
1506360.0,330520.0,0.2398,300.36,67.01
1506360.0,331640.0,0.2083,300.31,65.85
1506360.0,332760.0,0.1394,300.25,64.44
1506360.0,333880.0,0.1557,300.19,62.93
1506360.0,335000.0,0.0913,300.13,61.48
1506360.0,336120.0,0.1061,300.07,60.22
1506360.0,337240.0,0.193,300.03,59.29
1506360.0,338360.0,0.2998,300.01,58.76
1506360.0,339480.0,0.3009,299.99,58.3
