Latitud,Longitud,Fase,Desplazamiento_m,Deformacion_mm
13.74242,-89.15402,1.9242,-0.008493,-8.4929
13.742427,-89.15328,0.5869,-0.00259,-2.5904
13.742433,-89.152541,1.0375,-0.004579,-4.5792
13.742439,-89.151801,1.3205,-0.005829,-5.8285
13.742446,-89.151062,2.1223,-0.009367,-9.3674
13.742452,-89.150322,1.7361,-0.007663,-7.6629
13.742459,-89.149583,0.6931,-0.003059,-3.0591
13.742465,-89.148843,1.1483,-0.005068,-5.0684
13.742472,-89.148104,1.3354,-0.005894,-5.8944
13.742478,-89.147364,1.1422,-0.005042,-5.0417
13.742485,-89.146625,2.0842,-0.009199,-9.1993
13.742491,-89.145885,2.0842,-0.009199,-9.1993
13.742497,-89.145146,2.3012,-0.010157,-10.1569
13.742504,-89.144406,1.7778,-0.007847,-7.8468
13.74251,-89.143667,2.0831,-0.009194,-9.1943
13.742517,-89.142928,1.9695,-0.008693,-8.6929
13.742523,-89.142188,1.8754,-0.008278,-8.2776
13.74253,-89.141449,1.4257,-0.006293,-6.2929
13.742536,-89.140709,1.5617,-0.006893,-6.8929
13.742542,-89.13997,1.7356,-0.007661,-7.6607
13.742549,-89.13923,2.1323,-0.009411,-9.4114
13.742555,-89.138491,1.9466,-0.008592,-8.5918
13.742562,-89.137751,2.0871,-0.009212,-9.2121
13.742568,-89.137012,1.777,-0.007843,-7.8435
13.742574,-89.136272,1.9121,-0.00844,-8.4398
13.742581,-89.135533,2.193,-0.00968,-9.6797
13.742587,-89.134793,1.8476,-0.008155,-8.1549
13.742594,-89.134054,2.5031,-0.011048,-11.0481
13.7426,-89.133314,2.2,-0.009711,-9.7106
13.742606,-89.132575,2.7766,-0.012256,-12.2556
13.742613,-89.131835,1.9579,-0.008642,-8.642
13.742619,-89.131096,-1.6587,0.007321,7.3211
13.742626,-89.130357,1.2537,-0.005534,-5.5338
13.742632,-89.129617,2.359,-0.010412,-10.4124
13.742638,-89.128878,2.7909,-0.012319,-12.3187
13.742645,-89.128138,1.8808,-0.008301,-8.3015
13.742651,-89.127399,1.811,-0.007994,-7.9936
13.742658,-89.126659,2.7967,-0.012344,-12.3442
13.742664,-89.12592,1.4903,-0.006578,-6.5781
13.74267,-89.12518,1.4903,-0.006578,-6.5781
13.742677,-89.124441,1.0948,-0.004832,-4.8322
13.742683,-89.123701,0.7662,-0.003382,-3.3818
13.742689,-89.122962,-0.3544,0.001564,1.5641
13.742696,-89.122222,1.3843,-0.00611,-6.1099
13.742702,-89.121483,-0.9318,0.004113,4.1126
13.742708,-89.120743,0.9077,-0.004006,-4.0065
13.742715,-89.120004,-0.7731,0.003413,3.4125
13.742721,-89.119264,1.7226,-0.007603,-7.6033
13.742728,-89.118525,2.6832,-0.011843,-11.8432
13.742734,-89.117785,3.1573,-0.013936,-13.9359
13.74274,-89.117046,0.5651,-0.002494,-2.4941
13.742747,-89.116306,0.3523,-0.001555,-1.555
13.742753,-89.115567,3.5645,-0.015733,-15.733
13.742759,-89.114828,2.9399,-0.012976,-12.9762
13.742766,-89.114088,2.745,-0.012116,-12.1158
13.742772,-89.113349,2.9542,-0.013039,-13.0393
13.742778,-89.112609,1.6804,-0.007417,-7.4171
13.742785,-89.11187,2.8507,-0.012582,-12.5825
13.742791,-89.11113,2.3729,-0.010474,-10.4735
13.742797,-89.110391,2.9455,-0.013001,-13.001
13.742804,-89.109651,1.9552,-0.00863,-8.6298
13.74281,-89.108912,1.8988,-0.008381,-8.3809
13.742816,-89.108172,3.118,-0.013762,-13.7621
13.742823,-89.107433,2.498,-0.011026,-11.0257
13.742829,-89.106693,2.3834,-0.01052,-10.52
13.742835,-89.105954,3.0659,-0.013532,-13.5325
13.742842,-89.105214,3.0241,-0.013348,-13.3477
13.742848,-89.104475,2.7376,-0.012083,-12.0833
13.742854,-89.103735,3.276,-0.01446,-14.4595
13.74286,-89.102996,2.6218,-0.011572,-11.572
13.742867,-89.102256,1.606,-0.007089,-7.0887
