Latitud,Longitud,Fase,Desplazamiento_m,Deformacion_mm
13.74242,-89.15402,1.4521,-0.00641,-6.4095
13.742427,-89.15328,0.1149,-0.000507,-0.507
13.742433,-89.152541,0.5655,-0.002496,-2.4958
13.742439,-89.151801,0.8485,-0.003745,-3.7451
13.742446,-89.151062,1.6503,-0.007284,-7.284
13.742452,-89.150322,1.2641,-0.00558,-5.5795
13.742459,-89.149583,0.2211,-0.000976,-0.9757
13.742465,-89.148843,0.6763,-0.002985,-2.985
13.742472,-89.148104,0.8634,-0.003811,-3.811
13.742478,-89.147364,0.6702,-0.002958,-2.9583
13.742485,-89.146625,1.6122,-0.007116,-7.1159
13.742491,-89.145885,1.6122,-0.007116,-7.1159
13.742497,-89.145146,1.8291,-0.008074,-8.0735
13.742504,-89.144406,1.3058,-0.005763,-5.7634
13.74251,-89.143667,1.6111,-0.007111,-7.1109
13.742517,-89.142928,1.4975,-0.00661,-6.6095
13.742523,-89.142188,1.4034,-0.006194,-6.1942
13.74253,-89.141449,0.9537,-0.00421,-4.2095
13.742536,-89.140709,1.0896,-0.00481,-4.8095
13.742542,-89.13997,1.2636,-0.005577,-5.5773
13.742549,-89.13923,1.6602,-0.007328,-7.328
13.742555,-89.138491,1.4745,-0.006508,-6.5084
13.742562,-89.137751,1.6151,-0.007129,-7.1287
13.742568,-89.137012,1.305,-0.00576,-5.7601
13.742574,-89.136272,1.4401,-0.006356,-6.3564
13.742581,-89.135533,1.721,-0.007596,-7.5963
13.742587,-89.134793,1.3756,-0.006072,-6.0715
13.742594,-89.134054,2.0311,-0.008965,-8.9647
13.7426,-89.133314,1.728,-0.007627,-7.6272
13.742606,-89.132575,2.3046,-0.010172,-10.1722
13.742613,-89.131835,1.4859,-0.006559,-6.5586
13.742619,-89.131096,-2.1307,0.009404,9.4045
13.742626,-89.130357,0.7817,-0.00345,-3.4504
13.742632,-89.129617,1.887,-0.008329,-8.329
13.742638,-89.128878,2.3189,-0.010235,-10.2353
13.742645,-89.128138,1.4088,-0.006218,-6.2181
13.742651,-89.127399,1.339,-0.00591,-5.9102
13.742658,-89.126659,2.3247,-0.010261,-10.2608
13.742664,-89.12592,1.0183,-0.004495,-4.4947
13.74267,-89.12518,1.0183,-0.004495,-4.4947
13.742677,-89.124441,0.6194,-0.002734,-2.7339
13.742683,-89.123701,0.2908,-0.001283,-1.2835
13.742689,-89.122962,-0.8298,0.003662,3.6624
13.742696,-89.122222,0.9089,-0.004012,-4.0116
13.742702,-89.121483,-1.4071,0.006211,6.2109
13.742708,-89.120743,0.4323,-0.001908,-1.9082
13.742715,-89.120004,-1.2485,0.005511,5.5108
13.742721,-89.119264,1.2472,-0.005505,-5.505
13.742728,-89.118525,2.2078,-0.009745,-9.7449
13.742734,-89.117785,2.6819,-0.011838,-11.8376
13.74274,-89.117046,0.0897,-0.000396,-0.3958
13.742747,-89.116306,-0.1231,0.000543,0.5433
13.742753,-89.115567,3.0891,-0.013635,-13.6347
13.742759,-89.114828,2.4645,-0.010878,-10.8779
13.742766,-89.114088,2.2696,-0.010017,-10.0175
13.742772,-89.113349,2.4788,-0.010941,-10.941
13.742778,-89.112609,1.205,-0.005319,-5.3188
13.742785,-89.11187,2.3753,-0.010484,-10.4842
13.742791,-89.11113,1.8975,-0.008375,-8.3752
13.742797,-89.110391,2.4701,-0.010903,-10.9027
13.742804,-89.109651,1.4798,-0.006531,-6.5315
13.74281,-89.108912,1.4234,-0.006283,-6.2826
13.742816,-89.108172,2.6426,-0.011664,-11.6638
