Latitud,Longitud,Velocidad_mm_amo,Velocidad_EW_mm_amo,Velocidad_UP_mm_amo,Deform_Asc_20250101_20250113_mm,Deform_Asc_20250125_20250206_mm,Deform_Asc_20250206_20250218_mm,Deform_Asc_20250218_20250302_mm,Deform_Asc_20250302_20250314_mm,Deform_Asc_20250314_20250326_mm,Deform_Asc_20250326_20250407_mm,Deform_Asc_20250407_20250419_mm,Deform_Asc_20250419_20250501_mm,Deform_Asc_20250501_20250513_mm,Deform_Asc_20250513_20250525_mm,Deform_Asc_20250525_20250606_mm,Deform_Asc_20250606_20250618_mm,Deform_Asc_20250618_20250630_mm,Deform_Asc_20250817_20250829_mm,Deform_Asc_20250829_20250910_mm,Deform_Asc_20250910_20250922_mm,Deform_Asc_20250922_20251004_mm,Deform_Asc_20251004_20251016_mm,Deform_Asc_20251016_20251028_mm,Deform_Asc_20251028_20251109_mm,Deform_Asc_20251109_20251121_mm,Deform_Asc_20251121_20251203_mm,Deform_Asc_20251203_20251215_mm,Deform_Desc_20251024_20251105_mm,Deform_Desc_20251105_20251129_mm,Deform_Desc_20251129_20251211_mm,Deform_Desc_20251211_20251223_mm
14.005,-89.7161,45.32,-187.44,76.59,-0.96,8.19,-2.57,-5.56,-12.09,9.58,-17.06,14.43,13.77,0.78,-2.06,-7.67,-21.29,3.29,3.64,13.82,-3.99,4.66,-1.74,6.92,7.64,-0.0,4.53,1.56,7.6,-2.31,3.35,1.58
14.005,-89.7153,21.6,-628.31,102.93,5.25,6.5,-1.05,-4.96,-10.48,14.48,-16.34,12.4,-2.98,6.62,1.67,-6.84,-5.75,-9.63,8.96,-10.2,-1.65,4.34,7.97,-8.0,-9.9,2.38,-10.26,1.26,3.42,-2.31,2.33,2.13
14.005,-89.7146,-9.13,-500.0,50.85,3.26,7.19,-0.45,-4.22,-11.5,11.48,-16.13,14.5,-11.65,-13.47,0.12,3.38,-4.26,-0.74,4.14,-3.58,-8.6,-6.8,3.43,3.01,-0.0,-10.58,0.43,-0.19,6.99,-9.46,3.44,1.75
14.005,-89.7138,-1.56,415.91,-53.11,-0.59,6.2,-1.11,-5.0,-9.52,12.3,-15.9,13.7,-14.75,-7.97,-0.2,4.03,-6.52,-0.63,-2.37,9.1,-3.36,3.78,-1.21,15.93,10.64,-3.99,3.32,3.25,4.2,-4.45,1.44,0.89
14.005,-89.7131,-20.31,649.32,-104.05,-1.0,5.65,0.64,-5.39,-8.15,12.2,-15.55,14.4,-5.17,-15.69,-1.3,1.1,-4.63,-1.04,-1.6,-0.0,-3.39,5.73,4.35,16.7,1.16,-2.46,2.45,7.87,4.09,-6.05,1.57,-0.84
14.005,-89.7124,-22.0,574.01,-96.77,-1.24,6.0,-0.26,-4.89,-8.24,11.93,-15.48,13.63,-0.47,-0.0,0.54,9.07,-4.06,1.5,3.47,-0.0,-13.9,4.81,-8.81,-0.68,-0.65,3.55,-0.47,-2.1,1.39,-5.65,0.4,2.85
14.005,-89.7116,-132.66,2782.25,-499.84,2.19,5.35,-0.6,-4.47,-8.85,11.96,-13.08,13.06,-0.0,-13.35,-2.09,4.52,-0.0,-0.1,-1.21,-16.66,-4.14,7.71,-5.66,15.2,-9.7,7.25,-2.95,4.05,1.39,-19.16,0.92,-0.37
14.005,-89.7109,18.9,-427.74,75.09,0.66,4.9,1.02,-4.53,-7.6,11.34,-11.57,12.8,-0.0,-4.0,-1.58,-6.11,-22.58,6.19,-3.44,5.46,-4.45,-4.53,-0.77,18.8,-3.87,2.92,-11.31,4.18,6.05,-1.57,0.36,0.29
14.005,-89.7101,10.05,1266.61,-144.43,-5.71,4.62,0.12,-5.08,-8.05,9.42,-11.53,12.56,8.49,18.35,-3.01,-3.04,-3.81,1.47,-5.0,-3.41,-7.45,15.48,12.59,-0.0,7.52,6.27,-4.7,-5.66,3.98,-1.57,0.36,0.29
14.005,-89.7094,-15.67,1051.36,-148.26,-0.4,3.23,-2.32,-2.78,-8.37,8.83,-10.06,12.75,12.25,-6.82,-1.25,8.67,-16.23,4.45,-4.46,-3.9,-10.66,17.46,-1.0,7.09,1.69,8.44,0.15,-1.96,5.44,-5.78,0.07,0.22
14.0051,-89.7087,-20.1,1358.43,-191.43,-0.18,1.71,-0.66,-3.37,-8.5,7.82,-9.98,11.66,0.84,-18.93,-1.23,4.14,-3.74,12.33,27.47,-5.33,-0.55,6.64,-15.23,-0.0,1.93,6.36,-1.02,-0.03,5.54,-6.51,0.72,-0.91
14.0051,-89.7079,11.12,507.58,-49.54,1.54,3.29,-0.26,-5.38,-8.55,6.97,-8.97,11.61,2.6,-10.56,-1.72,11.31,-4.14,1.97,13.3,-10.9,-6.91,-2.11,-5.59,21.67,1.21,7.66,-5.06,-1.23,5.54,-5.92,2.21,2.98
14.0051,-89.7072,14.15,-412.06,67.6,-3.3,1.68,-1.19,-3.88,-9.33,6.39,-8.08,11.11,10.93,-27.79,-1.36,8.42,-5.28,2.59,7.53,5.99,-11.86,-5.15,3.97,-0.0,1.65,-3.97,-17.16,2.05,11.01,-8.02,2.64,0.77
